epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,515.796,2.06997,7.54589,0.01185,0.53638,0.20513,0.16801,0.06251,2.15016,7.22414,0.01227,0.000792743,0.000792743,0.000792743
43,527.509,2.10489,7.43168,0.01129,0.53349,0.19301,0.1613,0.05946,2.13288,7.23792,0.01204,0.000788592,0.000788592,0.000788592
44,539.499,2.07635,7.18838,0.01111,0.55621,0.20022,0.17099,0.0635,2.12091,7.21198,0.01205,0.000784355,0.000784355,0.000784355
45,551.141,2.07805,6.91273,0.0108,0.54658,0.19748,0.18681,0.0681,2.1601,7.05649,0.01232,0.000780036,0.000780036,0.000780036
46,562.383,2.06206,6.93537,0.01094,0.314,0.2079,0.1711,0.06063,2.18921,7.16023,0.0127,0.000775633,0.000775633,0.000775633
47,573.62,2.07971,7.06547,0.01154,0.30534,0.24309,0.18854,0.07115,2.11588,6.80981,0.01188,0.000771148,0.000771148,0.000771148
48,585.461,2.0804,6.96962,0.01124,0.54515,0.22525,0.17574,0.06293,2.14767,7.00082,0.01228,0.000766583,0.000766583,0.000766583
49,597.178,2.07916,6.88152,0.01149,0.56495,0.22914,0.17485,0.0652,nan,nan,nan,0.000761939,0.000761939,0.000761939
50,608.842,2.06123,6.90235,0.0112,0.66169,0.18935,0.17111,0.0625,nan,nan,nan,0.000757216,0.000757216,0.000757216
51,620.635,2.08387,6.81651,0.01085,0.68317,0.20587,0.18849,0.06749,nan,nan,nan,0.000752416,0.000752416,0.000752416
52,632.433,2.07373,6.68603,0.01158,0.54772,0.23015,0.17843,0.06577,2.15208,6.83959,0.01224,0.00074754,0.00074754,0.00074754
53,643.975,2.08352,6.80321,0.01112,0.31122,0.23767,0.18183,0.06677,2.19765,7.18494,0.01263,0.000742589,0.000742589,0.000742589
54,655.478,2.11444,6.96921,0.01148,0.42035,0.20974,0.17152,0.06123,2.19165,6.89645,0.01245,0.000737564,0.000737564,0.000737564
55,667.075,2.06817,7.06715,0.01116,0.65273,0.21538,0.17259,0.06419,2.11074,6.84231,0.01173,0.000732467,0.000732467,0.000732467
56,678.973,2.06538,6.65104,0.01093,0.53224,0.23176,0.18609,0.0689,2.13487,6.74589,0.01191,0.0007273,0.0007273,0.0007273
57,690.706,2.11089,6.81487,0.01156,0.66314,0.23296,0.18081,0.06539,2.1397,7.06523,0.0122,0.000722062,0.000722062,0.000722062
58,702.384,2.12846,6.82347,0.01144,0.53801,0.24946,0.17732,0.0663,2.11158,7.43981,0.01195,0.000716756,0.000716756,0.000716756
59,714.085,2.05529,6.64144,0.01105,0.5533,0.23592,0.18033,0.06687,2.13786,6.92684,0.01202,0.000711382,0.000711382,0.000711382
60,725.809,2.05009,6.56555,0.01124,0.44935,0.19489,0.17075,0.06162,2.17218,7.31151,0.0124,0.000705943,0.000705943,0.000705943
61,737.457,2.06172,6.61904,0.01091,0.42673,0.22837,0.18561,0.06947,2.09923,7.02874,0.01169,0.000700439,0.000700439,0.000700439
62,748.78,2.07121,6.62625,0.01157,0.43802,0.22207,0.17408,0.06268,2.20733,7.1681,0.01241,0.000694872,0.000694872,0.000694872
63,760.382,2.0957,6.71895,0.01098,0.57564,0.23284,0.18676,0.06796,2.19129,7.03733,0.01232,0.000689244,0.000689244,0.000689244
