epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,666.684,2.04937,5.53749,0.00975,0.25288,0.43633,0.25364,0.09508,2.10326,4.75874,0.01158,0.000643101,0.000643101,0.000643101
43,681.993,2.10786,5.97962,0.01145,0.26939,0.28299,0.21813,0.08375,2.04186,4.70775,0.01098,0.000628101,0.000628101,0.000628101
44,697.294,2.16439,5.49482,0.01044,0.24445,0.39986,0.23877,0.09157,2.05612,4.61584,0.01112,0.000612981,0.000612981,0.000612981
45,712.499,2.13906,5.50056,0.00957,0.27306,0.37582,0.24763,0.09111,2.07882,4.20435,0.0113,0.000597754,0.000597754,0.000597754
46,727.779,2.14614,5.39165,0.00971,0.25308,0.47492,0.24797,0.09133,2.1505,4.9888,0.01171,0.000582435,0.000582435,0.000582435
47,743.106,2.21749,5.50023,0.01013,0.26505,0.33196,0.2276,0.08774,2.10558,4.77093,0.01151,0.00056704,0.00056704,0.00056704
48,758.308,2.12131,5.70459,0.00958,0.26322,0.40614,0.22842,0.08736,2.07896,5.19472,0.0113,0.000551584,0.000551584,0.000551584
49,773.449,2.10661,5.36168,0.01086,0.28177,0.39765,0.26505,0.10383,2.09573,4.29072,0.01146,0.000536081,0.000536081,0.000536081
50,788.885,2.19112,5.24888,0.01015,0.29053,0.38799,0.27084,0.10505,2.05901,4.3413,0.01121,0.000520548,0.000520548,0.000520548
51,804.259,2.1852,5.67259,0.01004,0.28627,0.43202,0.26655,0.10112,2.08102,4.70737,0.0113,0.000505,0.000505,0.000505
52,819.324,2.02582,5.5739,0.01021,0.31312,0.31846,0.25967,0.0999,2.04797,4.96034,0.0111,0.000489452,0.000489452,0.000489452
53,834.491,2.10019,5.62512,0.01061,0.30493,0.33459,0.26007,0.10053,2.06657,4.43985,0.01119,0.000473919,0.000473919,0.000473919
54,849.77,2.11625,5.27563,0.01005,0.24428,0.39649,0.24969,0.10005,2.0506,6.17388,0.01115,0.000458416,0.000458416,0.000458416
55,865.02,2.14591,6.07014,0.01007,0.28742,0.38653,0.26959,0.09992,2.01965,5.30874,0.01105,0.00044296,0.00044296,0.00044296
56,880.109,2.00225,5.2066,0.01061,0.33722,0.37102,0.25071,0.09505,2.0568,4.90646,0.01132,0.000427565,0.000427565,0.000427565
57,895.33,2.15795,5.98587,0.01069,0.08091,0.83421,0.22232,0.08495,2.05497,5.74994,0.01133,0.000412246,0.000412246,0.000412246
58,910.646,2.0972,5.65294,0.00921,0.27007,0.45577,0.24093,0.09311,2.03377,4.67097,0.01104,0.000397019,0.000397019,0.000397019
59,925.808,2.05994,5.38354,0.00905,0.23379,0.36359,0.22382,0.08764,2.03499,4.90297,0.01105,0.000381899,0.000381899,0.000381899
60,941.021,2.08453,5.40607,0.00966,0.25763,0.36586,0.24572,0.0958,2.06767,4.797,0.0112,0.000366899,0.000366899,0.000366899
61,956.258,2.1133,5.70266,0.00946,0.25889,0.4148,0.26341,0.10192,2.06745,4.5923,0.01125,0.000352037,0.000352037,0.000352037
62,971.552,2.16011,5.23715,0.01085,0.25814,0.47684,0.26501,0.1021,2.06874,4.70939,0.01129,0.000337325,0.000337325,0.000337325
63,986.764,2.16403,5.1343,0.01001,0.28151,0.41066,0.26105,0.10187,2.06193,4.36316,0.01127,0.000322778,0.000322778,0.000322778
64,1001.99,2.14017,5.09135,0.0104,0.28584,0.38992,0.26116,0.10109,2.08026,4.29856,0.01125,0.000308412,0.000308412,0.000308412
65,1017.14,2.1219,5.51193,0.00913,0.26443,0.38415,0.26316,0.10463,2.05017,4.7852,0.01105,0.000294239,0.000294239,0.000294239
66,1032.41,2.17422,5.019,0.01046,0.27164,0.38344,0.27466,0.10631,2.06532,4.23996,0.0112,0.000280275,0.000280275,0.000280275
67,1047.82,2.13102,4.9023,0.01044,0.29026,0.38336,0.284,0.10955,2.03327,4.18028,0.01117,0.000266532,0.000266532,0.000266532
68,1063.18,2.15186,4.70512,0.00993,0.29299,0.37244,0.28028,0.10808,2.02812,4.19583,0.01104,0.000253024,0.000253024,0.000253024
